layout_name,input_count,average_remaining_candidates,weighted_unique_share,max_remaining_candidates
qwerty_derived_control,1,119.15579585502786,0.0,190
qwerty_derived_control,2,22.000835297745557,1.9505149125306785e-07,57
qwerty_derived_control,3,4.55845398675858,0.19951114713363943,25
qwerty_derived_control,4,1.78249095238244,0.4894782101370875,10
qwerty_derived_control,5,1.5290227720162965,0.561071358971791,6
qwerty_derived_control,6,1.5243302358264796,0.5657626008622725,6
qwerty_derived_control,7,1.524328277813294,0.5657642579806172,6
qwerty_derived_control,8,1.5188384921294744,0.5712540436644369,6
qwerty_derived_control,9,1.5188382743700872,0.5712542614238241,6
qwerty_derived_control,10,1.5188382743700872,0.5712542614238241,6
qwerty_derived_control,11,1.5188382743700872,0.5712542614238241,6
qwerty_derived_control,12,1.5188382743700872,0.5712542614238241,6
qwerty_derived_control,13,1.5188382743700872,0.5712542614238241,6
qwerty_derived_control,14,1.5188382743700872,0.5712542614238241,6
best_random_layout,1,78.81069325803689,0.0,125
best_random_layout,2,13.318711709529715,0.03148684814260183,49
best_random_layout,3,2.741559746150446,0.49925289097848063,17
best_random_layout,4,1.2403459200798341,0.8322073279448322,6
best_random_layout,5,1.1501556717835795,0.8826551032636667,4
best_random_layout,6,1.1454640013399047,0.8873462016063567,3
best_random_layout,7,1.1454622600055027,0.8873477980789936,3
best_random_layout,8,1.139972796072681,0.8928372620118151,3
best_random_layout,9,1.139972367306411,0.8928376907780851,3
best_random_layout,10,1.139972367306411,0.8928376907780851,3
best_random_layout,11,1.139972367306411,0.8928376907780851,3
best_random_layout,12,1.139972367306411,0.8928376907780851,3
best_random_layout,13,1.139972367306411,0.8928376907780851,3
best_random_layout,14,1.139972367306411,0.8928376907780851,3
best_frequency_based_layout_frequency_static,1,85.00944832979982,0.0,134
best_frequency_based_layout_frequency_static,2,13.34028994950118,0.003067421839181366,38
best_frequency_based_layout_frequency_static,3,2.966951212263314,0.3514410354483766,16
best_frequency_based_layout_frequency_static,4,1.4330101512217663,0.6712614447404913,7
best_frequency_based_layout_frequency_static,5,1.3391323271395619,0.7281868055272632,4
best_frequency_based_layout_frequency_static,6,1.3344408745313732,0.7328778517270232,3
best_frequency_based_layout_frequency_static,7,1.3344390171513028,0.7328793985527724,3
best_frequency_based_layout_frequency_static,8,1.3289492259985127,0.7383691897055625,3
best_frequency_based_layout_frequency_static,9,1.3289490082391255,0.7383694074649497,3
best_frequency_based_layout_frequency_static,10,1.3289490082391255,0.7383694074649497,3
best_frequency_based_layout_frequency_static,11,1.3289490082391255,0.7383694074649497,3
best_frequency_based_layout_frequency_static,12,1.3289490082391255,0.7383694074649497,3
best_frequency_based_layout_frequency_static,13,1.3289490082391255,0.7383694074649497,3
best_frequency_based_layout_frequency_static,14,1.3289490082391255,0.7383694074649497,3
best_greedy_optimized_layout,1,66.84769310970269,0.0,153
best_greedy_optimized_layout,2,10.287639898922887,0.06844388179273118,42
best_greedy_optimized_layout,3,2.642966183553065,0.53324874062023,16
best_greedy_optimized_layout,4,1.2117865725666483,0.8577307309328134,6
best_greedy_optimized_layout,5,1.107083234331695,0.9232583535649247,6
best_greedy_optimized_layout,6,1.1023909760396473,0.9279495064704879,6
best_greedy_optimized_layout,7,1.1023892347052453,0.9279511029431249,6
best_greedy_optimized_layout,8,1.0968995597655409,0.9334407778828292,6
best_greedy_optimized_layout,9,1.0968993420061537,0.9334409956422164,6
best_greedy_optimized_layout,10,1.0968993420061537,0.9334409956422164,6
best_greedy_optimized_layout,11,1.0968993420061537,0.9334409956422164,6
best_greedy_optimized_layout,12,1.0968993420061537,0.9334409956422164,6
best_greedy_optimized_layout,13,1.0968993420061537,0.9334409956422164,6
best_greedy_optimized_layout,14,1.0968993420061537,0.9334409956422164,6
best_genetic_algorithm_layout,1,80.78120429704423,0.0,102
best_genetic_algorithm_layout,2,11.896436007405713,0.023043018495743067,36
best_genetic_algorithm_layout,3,2.7171704465666418,0.4514145561915048,17
best_genetic_algorithm_layout,4,1.2244850360050665,0.8249774625818477,6
best_genetic_algorithm_layout,5,1.1591228193255765,0.8654198557542808,4
best_genetic_algorithm_layout,6,1.1544312495048703,0.870110853474002,3
best_genetic_algorithm_layout,7,1.1478764461868751,0.8733889320499996,3
best_genetic_algorithm_layout,8,1.142386771247171,0.8788786069897039,3
best_genetic_algorithm_layout,9,1.1423865534877837,0.8788788247490911,3
best_genetic_algorithm_layout,10,1.1423865534877837,0.8788788247490911,3
best_genetic_algorithm_layout,11,1.1423865534877837,0.8788788247490911,3
best_genetic_algorithm_layout,12,1.1423865534877837,0.8788788247490911,3
best_genetic_algorithm_layout,13,1.1423865534877837,0.8788788247490911,3
best_genetic_algorithm_layout,14,1.1423865534877837,0.8788788247490911,3
evolved_rank_1,1,80.78120429704423,0.0,102
evolved_rank_1,2,11.896436007405713,0.023043018495743067,36
evolved_rank_1,3,2.7171704465666418,0.4514145561915048,17
evolved_rank_1,4,1.2244850360050665,0.8249774625818477,6
evolved_rank_1,5,1.1591228193255765,0.8654198557542808,4
evolved_rank_1,6,1.1544312495048703,0.870110853474002,3
evolved_rank_1,7,1.1478764461868751,0.8733889320499996,3
evolved_rank_1,8,1.142386771247171,0.8788786069897039,3
evolved_rank_1,9,1.1423865534877837,0.8788788247490911,3
evolved_rank_1,10,1.1423865534877837,0.8788788247490911,3
evolved_rank_1,11,1.1423865534877837,0.8788788247490911,3
evolved_rank_1,12,1.1423865534877837,0.8788788247490911,3
